user_id,user_name,first_join_date,last_visit_date
164990869,Александр,2023-06-19 02:05:52.569679,2023-06-19 02:06:02.673178
308915305,MrDre,2023-06-29 08:38:35.093272,2023-06-29 08:39:19.081922
396489237,Igor,2023-06-15 08:12:22.319649,2023-06-15 08:12:22.319654
464861284,Павел,2023-06-09 03:22:32.642527,2023-06-09 03:22:32.642531
909854604,Jorik,2023-06-27 04:27:12.084397,2023-06-27 04:31:38.655601
1289538297,||,2023-06-07 10:18:06.135023,2023-06-07 10:18:06.135028
1971189447,Salavat,2023-06-25 01:55:59.611323,2023-06-25 01:56:07.322916
5151402567,Валерий,2023-06-17 22:46:58.206171,2023-06-17 22:58:15.063187
5343114462,Александр,2023-06-27 04:18:57.906823,2023-06-27 05:19:19.644545
5399687540,Татьяна,2023-06-08 15:35:44.324539,2023-06-17 15:50:08.271994
5594186929,Тимур,2023-06-11 17:08:10.782267,2023-06-11 17:08:49.252674
5804767128,Гена,2023-06-09 02:34:24.565292,2023-06-09 02:34:24.565297
905144372,Слава,2023-06-06 10:17:53.179202,2023-07-18 20:43:41.205993
